Original Text,Processed Text,Actual Sentiment,Predicted Sentiment
Don\u2019t Forget The Classical Brit Awards At 10pm tonight for a Special appearance of the 25th anniversary Cast of Phantom for 26th Bday?? ,donut forget classical brit award pm tonight special appearance th anniversary cast phantom th bday,Neutral,Positive
who ever wins LSU vs Bama this saturday is going to the National Championship ,ever win lsu v bama saturday going national championship,Neutral,Positive
Oh look dustin Johnson has blew up again lol. 7/4 after the 2nd round in places can now be backed at 50/1. #TheOpen #DustinJohnson #choker ,oh look dustin johnson blew lol nd round place backed theopen dustinjohnson choker,Neutral,Positive
Bee Gees - Saturday Night Fever (John Travolta) [HD] yeh boyy you know you're all dancing and sing to this one!!!  ,bee gee saturday night fever john travolta hd yeh boyy know youre dancing sing one,Positive,Neutral
"""https://t.co/kc8lDmbgpH Gay men, Have you been sexually assaulted? The answer may surprise you"" ",gay men sexually assaulted answer may surprise,Negative,Neutral
If you are not entertained when turning WWE on a Monday night  then there's something wrong with you. - Brock Lesnar. I agree. ,not entertained turning wwe monday night there something wrong brock lesnar agree,Positive,Neutral
NCS Choir concert this Thursday night!!  Donny on bass guitar and singing with Mixed Ensemble. Who's going?? ,nc choir concert thursday night donny bass guitar singing mixed ensemble who going,Positive,Neutral
I still am looking for one logical answer as to why Kendrick Lamar is hypocritical with his gf...maybe tomorrow ,still looking one logical answer kendrick lamar hypocritical gfmaybe tomorrow,Neutral,Positive
"""Lol. You can still watch, Nicki asked Miley what's good and called her a bitch (most interesting part of the show) ",lol still watch nicki asked miley whats good called bitch interesting part show,Neutral,Positive
Janet Jackson remembers Aaliyah on the 14th anniversary of her death. ,janet jackson remembers aaliyah th anniversary death,Positive,Neutral
