context_word1,context_word2,target_word
neck,was,nearly
was,nearly,six
nearly,six,feet
six,feet,long
feet,long,the
long,the,second
the,second,third
second,third,and
third,and,fourth
and,fourth,were
fourth,were,each
were,each,successively
each,successively,longer
successively,longer,till
longer,till,you
till,you,came
you,came,to
came,to,the
to,the,climax
the,climax,of
climax,of,the
of,the,fifth
the,fifth,or
fifth,or,one
or,one,of
one,of,the
of,the,middle
the,middle,ribs
middle,ribs,which
ribs,which,measured
which,measured,eight
measured,eight,feet
eight,feet,and
feet,and,some
and,some,inches
some,inches,from
inches,from,that
from,that,part
that,part,the
part,the,remaining
the,remaining,ribs
remaining,ribs,diminished
ribs,diminished,till
diminished,till,the
till,the,tenth
the,tenth,and
tenth,and,last
and,last,only
last,only,spanned
only,spanned,five
spanned,five,feet
five,feet,and
feet,and,some
and,some,inches
some,inches,in
inches,in,general
in,general,thickness
general,thickness,they
thickness,they,all
they,all,bore
all,bore,a
bore,a,seemly
a,seemly,correspondence
seemly,correspondence,to
correspondence,to,their
to,their,length
their,length,the
length,the,middle
the,middle,ribs
middle,ribs,were
ribs,were,the
were,the,most
the,most,arched
most,arched,in
arched,in,some
in,some,of
some,of,the
of,the,arsacides
the,arsacides,they
arsacides,they,are
they,are,used
are,used,for
used,for,beams
for,beams,whereon
beams,whereon,to
whereon,to,lay
to,lay,footpath
lay,footpath,bridges
footpath,bridges,over
bridges,over,small
over,small,streams
small,streams,in
streams,in,considering
in,considering,these
considering,these,ribs
these,ribs,i
ribs,i,could
i,could,not
could,not,but
not,but,be
but,be,struck
be,struck,anew
struck,anew,with
anew,with,the
with,the,circumstance
the,circumstance,so
circumstance,so,variously
so,variously,repeated
variously,repeated,in
repeated,in,this
in,this,book
this,book,that
book,that,the
that,the,skeleton
the,skeleton,of
skeleton,of,the
of,the,whale
the,whale,is
whale,is,by
is,by,no
by,no,means
no,means,the
means,the,mould
the,mould,of
mould,of,his
of,his,invested
his,invested,form
invested,form,the
form,the,largest
the,largest,of
largest,of,the
of,the,tranque
the,tranque,ribs
tranque,ribs,one
ribs,one,of
one,of,the
of,the,middle
the,middle,ones
middle,ones,occupied
ones,occupied,that
occupied,that,part
that,part,of
part,of,the
of,the,fish
the,fish,which
fish,which,in
which,in,life
in,life,is
life,is,greatest
is,greatest,in
greatest,in,depth
in,depth,now
depth,now,the
now,the,greatest
the,greatest,depth
greatest,depth,of
depth,of,the
of,the,invested
the,invested,body
invested,body,of
body,of,this
of,this,particular
this,particular,whale
particular,whale,must
whale,must,have
must,have,been
have,been,at
been,at,least
at,least,sixteen
least,sixteen,feet
sixteen,feet,whereas
feet,whereas,the
whereas,the,corresponding
the,corresponding,rib
corresponding,rib,measured
rib,measured,but
measured,but,little
but,little,more
little,more,than
more,than,eight
than,eight,feet
eight,feet,so
feet,so,that
so,that,this
that,this,rib
this,rib,only
rib,only,conveyed
only,conveyed,half
conveyed,half,of
half,of,the
of,the,true
the,true,notion
true,notion,of
notion,of,the
of,the,living
the,living,magnitude
living,magnitude,of
magnitude,of,that
of,that,part
that,part,besides
part,besides,for
besides,for,some
for,some,way
some,way,where
way,where,i
where,i,now
i,now,saw
now,saw,but
saw,but,a
but,a,naked
a,naked,spine
naked,spine,all
spine,all,that
all,that,had
that,had,been
had,been,once
been,once,wrapped
once,wrapped,round
wrapped,round,with
round,with,tons
with,tons,of
tons,of,added
of,added,bulk
added,bulk,in
bulk,in,flesh
in,flesh,muscle
flesh,muscle,blood
muscle,blood,and
blood,and,bowels
and,bowels,still
bowels,still,more
still,more,for
more,for,the
for,the,ample
the,ample,fins
ample,fins,i
fins,i,here
i,here,saw
here,saw,but
saw,but,a
but,a,few
a,few,disordered
few,disordered,joints
disordered,joints,and
joints,and,in
and,in,place
in,place,of
place,of,the
of,the,weighty
the,weighty,and
weighty,and,majestic
and,majestic,but
majestic,but,boneless
but,boneless,flukes
boneless,flukes,an
flukes,an,utter
an,utter,blank
utter,blank,how
blank,how,vain
how,vain,and
vain,and,foolish
and,foolish,then
foolish,then,thought
then,thought,i
thought,i,for
i,for,timid
for,timid,untravelled
timid,untravelled,man
untravelled,man,to
man,to,try
to,try,to
try,to,comprehend
to,comprehend,aright
comprehend,aright,this
aright,this,wondrous
this,wondrous,whale
wondrous,whale,by
whale,by,merely
by,merely,poring
merely,poring,over
poring,over,his
over,his,dead
his,dead,attenuated
dead,attenuated,skeleton
attenuated,skeleton,stretched
skeleton,stretched,in
stretched,in,this
in,this,peaceful
this,peaceful,wood
peaceful,wood,no
wood,no,only
no,only,in
only,in,the
in,the,heart
the,heart,of
heart,of,quickest
of,quickest,perils
quickest,perils,only
perils,only,when
only,when,within
when,within,the
within,the,eddyings
the,eddyings,of
eddyings,of,his
of,his,angry
his,angry,flukes
angry,flukes,only
flukes,only,on
only,on,the
on,the,profound
the,profound,unbounded
profound,unbounded,sea
unbounded,sea,can
sea,can,the
can,the,fully
the,fully,invested
fully,invested,whale
invested,whale,be
whale,be,truly
be,truly,and
truly,and,livingly
and,livingly,found
livingly,found,out
found,out,but
out,but,the
but,the,spine
the,spine,for
spine,for,that
for,that,the
that,the,best
the,best,way
best,way,we
way,we,can
we,can,consider
can,consider,it
consider,it,is
it,is,with
is,with,a
with,a,crane
a,crane,to
crane,to,pile
to,pile,its
pile,its,bones
its,bones,high
bones,high,up
high,up,on
up,on,end
on,end,no
end,no,speedy
no,speedy,enterprise
speedy,enterprise,but
enterprise,but,now
but,now,it
now,it,s
it,s,done
s,done,it
done,it,looks
it,looks,much
looks,much,like
much,like,pompey
like,pompey,s
pompey,s,pillar
s,pillar,there
pillar,there,are
there,are,forty
are,forty,and
forty,and,odd
and,odd,vertebrae
odd,vertebrae,in
vertebrae,in,all
in,all,which
all,which,in
which,in,the
in,the,skeleton
the,skeleton,are
skeleton,are,not
are,not,locked
not,locked,together
locked,together,they
together,they,mostly
they,mostly,lie
mostly,lie,like
lie,like,the
like,the,great
the,great,knobbed
great,knobbed,blocks
knobbed,blocks,on
blocks,on,a
on,a,gothic
a,gothic,spire
gothic,spire,forming
spire,forming,solid
forming,solid,courses
solid,courses,of
courses,of,heavy
of,heavy,masonry
heavy,masonry,the
masonry,the,largest
the,largest,a
largest,a,middle
a,middle,one
middle,one,is
one,is,in
is,in,width
in,width,something
width,something,less
something,less,than
less,than,three
than,three,feet
three,feet,and
feet,and,in
and,in,depth
in,depth,more
depth,more,than
more,than,four
than,four,the
four,the,smallest
the,smallest,where
smallest,where,the
where,the,spine
the,spine,tapers
spine,tapers,away
tapers,away,into
away,into,the
into,the,tail
the,tail,is
tail,is,only
is,only,two
only,two,inches
two,inches,in
inches,in,width
in,width,and
width,and,looks
and,looks,something
looks,something,like
something,like,a
like,a,white
a,white,billiard
white,billiard,ball
billiard,ball,i
ball,i,was
i,was,told
was,told,that
told,that,there
that,there,were
there,were,still
were,still,smaller
still,smaller,ones
smaller,ones,but
ones,but,they
but,they,had
they,had,been
had,been,lost
been,lost,by
lost,by,some
by,some,little
some,little,cannibal
little,cannibal,urchins
cannibal,urchins,the
urchins,the,priest
the,priest,s
priest,s,children
s,children,who
children,who,had
who,had,stolen
had,stolen,them
stolen,them,to
them,to,play
to,play,marbles
play,marbles,with
marbles,with,thus
with,thus,we
thus,we,see
we,see,how
see,how,that
how,that,the
that,the,spine
the,spine,of
spine,of,even
of,even,the
even,the,hugest
the,hugest,of
hugest,of,living
of,living,things
living,things,tapers
things,tapers,off
tapers,off,at
off,at,last
at,last,into
last,into,simple
into,simple,child
simple,child,s
child,s,play
s,play,chapter
play,chapter,the
chapter,the,fossil
the,fossil,whale
fossil,whale,from
whale,from,his
from,his,mighty
his,mighty,bulk
mighty,bulk,the
bulk,the,whale
the,whale,affords
whale,affords,a
affords,a,most
a,most,congenial
most,congenial,theme
congenial,theme,whereon
theme,whereon,to
whereon,to,enlarge
to,enlarge,amplify
enlarge,amplify,and
amplify,and,generally
and,generally,expatiate
generally,expatiate,would
expatiate,would,you
would,you,you
you,you,could
you,could,not
could,not,compress
not,compress,him
compress,him,by
him,by,good
by,good,rights
good,rights,he
rights,he,should
he,should,only
should,only,be
only,be,treated
be,treated,of
treated,of,in
of,in,imperial
in,imperial,folio
imperial,folio,not
folio,not,to
not,to,tell
to,tell,over
tell,over,again
over,again,his
again,his,furlongs
his,furlongs,from
furlongs,from,spiracle
from,spiracle,to
spiracle,to,tail
to,tail,and
tail,and,the
and,the,yards
the,yards,he
yards,he,measures
he,measures,about
measures,about,the
about,the,waist
the,waist,only
waist,only,think
only,think,of
think,of,the
of,the,gigantic
the,gigantic,involutions
gigantic,involutions,of
involutions,of,his
of,his,intestines
his,intestines,where
intestines,where,they
where,they,lie
they,lie,in
lie,in,him
in,him,like
him,like,great
like,great,cables
great,cables,and
cables,and,hawsers
and,hawsers,coiled
hawsers,coiled,away
coiled,away,in
away,in,the
in,the,subterranean
the,subterranean,orlop
subterranean,orlop,deck
orlop,deck,of
deck,of,a
of,a,line
a,line,of
line,of,battle
of,battle,ship
battle,ship,since
ship,since,i
since,i,have
i,have,undertaken
have,undertaken,to
undertaken,to,manhandle
to,manhandle,this
manhandle,this,leviathan
this,leviathan,it
leviathan,it,behooves
it,behooves,me
behooves,me,to
me,to,approve
to,approve,myself
approve,myself,omnisciently
myself,omnisciently,exhaustive
omnisciently,exhaustive,in
exhaustive,in,the
in,the,enterprise
the,enterprise,not
enterprise,not,overlooking
not,overlooking,the
overlooking,the,minutest
the,minutest,seminal
minutest,seminal,germs
seminal,germs,of
germs,of,his
of,his,blood
his,blood,and
blood,and,spinning
and,spinning,him
spinning,him,out
him,out,to
out,to,the
to,the,uttermost
the,uttermost,coil
uttermost,coil,of
coil,of,his
of,his,bowels
his,bowels,having
bowels,having,already
having,already,described
already,described,him
described,him,in
him,in,most
in,most,of
most,of,his
of,his,present
his,present,habitatory
present,habitatory,and
habitatory,and,anatomical
and,anatomical,peculiarities
anatomical,peculiarities,it
peculiarities,it,now
it,now,remains
now,remains,to
remains,to,magnify
to,magnify,him
magnify,him,in
him,in,an
in,an,archaeological
an,archaeological,fossiliferous
archaeological,fossiliferous,and
fossiliferous,and,antediluvian
and,antediluvian,point
antediluvian,point,of
point,of,view
of,view,applied
view,applied,to
applied,to,any
to,any,other
any,other,creature
other,creature,than
creature,than,the
than,the,leviathan
the,leviathan,to
leviathan,to,an
to,an,ant
an,ant,or
ant,or,a
or,a,flea
a,flea,such
flea,such,portly
such,portly,terms
portly,terms,might
terms,might,justly
might,justly,be
justly,be,deemed
be,deemed,unwarrantably
deemed,unwarrantably,grandiloquent
unwarrantably,grandiloquent,but
grandiloquent,but,when
but,when,leviathan
when,leviathan,is
leviathan,is,the
is,the,text
the,text,the
text,the,case
the,case,is
case,is,altered
is,altered,fain
altered,fain,am
fain,am,i
am,i,to
i,to,stagger
to,stagger,to
stagger,to,this
to,this,emprise
this,emprise,under
emprise,under,the
under,the,weightiest
the,weightiest,words
weightiest,words,of
words,of,the
of,the,dictionary
the,dictionary,and
dictionary,and,here
and,here,be
here,be,it
be,it,said
it,said,that
said,that,whenever
that,whenever,it
whenever,it,has
it,has,been
has,been,convenient
been,convenient,to
convenient,to,consult
to,consult,one
consult,one,in
one,in,the
in,the,course
the,course,of
course,of,these
of,these,dissertations
these,dissertations,i
dissertations,i,have
i,have,invariably
have,invariably,used
invariably,used,a
used,a,huge
a,huge,quarto
huge,quarto,edition
quarto,edition,of
edition,of,johnson
of,johnson,expressly
johnson,expressly,purchased
expressly,purchased,for
purchased,for,that
for,that,purpose
that,purpose,because
purpose,because,that
because,that,famous
that,famous,lexicographer
famous,lexicographer,s
lexicographer,s,uncommon
s,uncommon,personal
uncommon,personal,bulk
personal,bulk,more
bulk,more,fitted
more,fitted,him
fitted,him,to
him,to,compile
to,compile,a
compile,a,lexicon
a,lexicon,to
lexicon,to,be
to,be,used
be,used,by
used,by,a
by,a,whale
a,whale,author
whale,author,like
author,like,me
like,me,one
me,one,often
one,often,hears
often,hears,of
hears,of,writers
of,writers,that
writers,that,rise
that,rise,and
rise,and,swell
and,swell,with
swell,with,their
with,their,subject
their,subject,though
subject,though,it
though,it,may
it,may,seem
may,seem,but
seem,but,an
but,an,ordinary
an,ordinary,one
ordinary,one,how
one,how,then
how,then,with
then,with,me
with,me,writing
me,writing,of
writing,of,this
of,this,leviathan
this,leviathan,unconsciously
leviathan,unconsciously,my
unconsciously,my,chirography
my,chirography,expands
chirography,expands,into
expands,into,placard
into,placard,capitals
placard,capitals,give
capitals,give,me
give,me,a
me,a,condor
a,condor,s
condor,s,quill
s,quill,give
quill,give,me
give,me,vesuvius
me,vesuvius,crater
vesuvius,crater,for
crater,for,an
for,an,inkstand
an,inkstand,friends
inkstand,friends,hold
friends,hold,my
hold,my,arms
my,arms,for
arms,for,in
for,in,the
in,the,mere
the,mere,act
mere,act,of
act,of,penning
of,penning,my
penning,my,thoughts
my,thoughts,of
thoughts,of,this
of,this,leviathan
this,leviathan,they
leviathan,they,weary
they,weary,me
weary,me,and
me,and,make
and,make,me
make,me,faint
me,faint,with
faint,with,their
with,their,outreaching
their,outreaching,comprehensiveness
outreaching,comprehensiveness,of
comprehensiveness,of,sweep
of,sweep,as
sweep,as,if
as,if,to
if,to,include
to,include,the
include,the,whole
the,whole,circle
whole,circle,of
circle,of,the
of,the,sciences
the,sciences,and
sciences,and,all
and,all,the
all,the,generations
the,generations,of
generations,of,whales
of,whales,and
whales,and,men
and,men,and
men,and,mastodons
and,mastodons,past
mastodons,past,present
past,present,and
present,and,to
and,to,come
to,come,with
come,with,all
with,all,the
all,the,revolving
the,revolving,panoramas
revolving,panoramas,of
panoramas,of,empire
of,empire,on
empire,on,earth
on,earth,and
earth,and,throughout
and,throughout,the
throughout,the,whole
the,whole,universe
whole,universe,not
universe,not,excluding
not,excluding,its
excluding,its,suburbs
its,suburbs,such
suburbs,such,and
such,and,so
and,so,magnifying
so,magnifying,is
magnifying,is,the
is,the,virtue
the,virtue,of
virtue,of,a
of,a,large
a,large,and
large,and,liberal
and,liberal,theme
liberal,theme,we
theme,we,expand
we,expand,to
expand,to,its
to,its,bulk
its,bulk,to
bulk,to,produce
to,produce,a
produce,a,mighty
a,mighty,book
mighty,book,you
book,you,must
you,must,choose
must,choose,a
choose,a,mighty
a,mighty,theme
mighty,theme,no
theme,no,great
no,great,and
great,and,enduring
and,enduring,volume
enduring,volume,can
volume,can,ever
can,ever,be
ever,be,written
be,written,on
written,on,the
on,the,flea
the,flea,though
flea,though,many
though,many,there
many,there,be
there,be,who
be,who,have
who,have,tried
have,tried,it
tried,it,ere
it,ere,entering
ere,entering,upon
entering,upon,the
upon,the,subject
the,subject,of
subject,of,fossil
of,fossil,whales
fossil,whales,i
whales,i,present
i,present,my
present,my,credentials
my,credentials,as
credentials,as,a
as,a,geologist
a,geologist,by
geologist,by,stating
by,stating,that
stating,that,in
that,in,my
in,my,miscellaneous
my,miscellaneous,time
miscellaneous,time,i
time,i,have
i,have,been
have,been,a
been,a,stone
a,stone,mason
stone,mason,and
mason,and,also
and,also,a
also,a,great
a,great,digger
great,digger,of
digger,of,ditches
of,ditches,canals
ditches,canals,and
canals,and,wells
and,wells,wine
wells,wine,vaults
wine,vaults,cellars
vaults,cellars,and
cellars,and,cisterns
and,cisterns,of
cisterns,of,all
of,all,sorts
all,sorts,likewise
sorts,likewise,by
likewise,by,way
by,way,of
way,of,preliminary
of,preliminary,i
preliminary,i,desire
i,desire,to
desire,to,remind
to,remind,the
remind,the,reader
the,reader,that
reader,that,while
that,while,in
while,in,the
in,the,earlier
the,earlier,geological
earlier,geological,strata
geological,strata,there
strata,there,are
